傲慢与偏见,2005,8.7,882100人

怪兽电力公司,2001,8.8,739133人

一个叫欧维的男人决定去死,2015,8.9,539256人

玩具总动员3,2010,8.9,567433人

教父3,1990,9.0,412404人

幸福终点站,2004,8.8,618498人

色，戒,2007,8.7,914411人

哪吒闹海,1979,9.2,293513人

小森林 冬春篇,2015,9.0,407216人

被解救的姜戈,2012,8.8,663212人

九品芝麻官,1994,8.8,757955人

釜山行,2016,8.6,1301775人

神偷奶爸,2010,8.7,1016262人

萤火之森,2011,8.8,587517人

告白,2010,8.8,718202人

喜宴,1993,9.0,407018人

玛丽和马克思,2009,9.0,445925人

头号玩家,2018,8.6,1466173人

模仿游戏,2014,8.8,699849人

大鱼,2003,8.8,607408人

七武士,1954,9.3,220924人

还有明天,2023,9.4,202171人

惊魂记,1960,9.0,336276人

射雕英雄传之东成西就,1993,8.7,693784人

我是山姆,2001,9.0,364106人

血战钢锯岭,2016,8.7,834079人

你的名字。,2016,8.5,1538189人

阳光姐妹淘,2011,8.8,620915人

恐怖直播,2013,8.7,705135人

黑客帝国3：矩阵革命,2003,8.8,480605人

背靠背，脸对脸,1994,9.5,164572人

电锯惊魂,2004,8.7,586461人

三块广告牌,2017,8.7,888384人

心灵奇旅,2020,8.7,1088237人

小丑,2019,8.7,1094721人

达拉斯买家俱乐部,2013,8.8,488837人

谍影重重3,2007,8.9,452427人

疯狂原始人,2013,8.7,895077人

绿里奇迹,1999,8.9,371023人

无间道2,2003,8.8,539841人

爱在午夜降临前,2013,8.9,449842人

海街日记,2015,8.8,498110人

上帝之城,2002,9.0,323019人

英雄本色,1986,8.6,586304人

风之谷,1984,8.9,380964人

疯狂的石头,2006,8.6,893200人

心迷宫,2014,8.7,587373人

雨中曲,1952,9.1,254473人

2001太空漫游,1968,8.9,373414人

纵横四海,1991,8.8,459797人

记忆碎片,2000,8.7,648000人

卢旺达饭店,2004,8.9,355827人

末路狂花,1991,9.0,313892人

无敌破坏王,2012,8.7,590253人

小偷家族,2018,8.7,872392人

冰川时代,2002,8.6,664329人

牯岭街少年杀人事件,1991,8.9,345179人

恐怖游轮,2009,8.5,949608人

高山下的花环,1984(中国大陆) / 1985,9.5,136177人

岁月神偷,2010,8.7,601393人

东京教父,2003,9.0,271940人

忠犬八公物语,1987,9.2,211434人

魔女宅急便,1989,8.7,503433人

荒蛮故事,2014,8.8,478039人

遗愿清单,2007,8.7,512980人

大佛普拉斯,2017,8.7,525792人

贫民窟的百万富翁,2008,8.6,789037人

东邪西毒,1994,8.6,616870人

你看起来好像很好吃,2010,8.9,360893人

源代码,2011,8.6,896317人

疯狂的麦克斯4：狂暴之路,2015,8.7,595859人

可可西里,2004,8.9,331823人

芙蓉镇,1987,9.3,172444人

爆裂鼓手,2014,8.6,662194人

城市之光,1931,9.3,163639人

波西米亚狂想曲,2018,8.6,664545人

花束般的恋爱,2021,8.6,762334人

黑天鹅,2010,8.6,824051人

青蛇,1993,8.6,571409人

爱乐之城,2016,8.4,1044226人

白日梦想家,2013,8.6,595880人

哈利·波特与死亡圣器(上),2010,8.6,662037人

终结者2：审判日,1991,8.8,369226人

初恋这件小事,2010,8.5,1029313人

雨人,1988,8.7,431059人

人工智能,2001,8.7,483983人

新龙门客栈,1992,8.7,486888人

无耻混蛋,2009,8.7,529018人

真爱至上,2003,8.5,786170人

虎口脱险,1966,8.9,282953人

崖上的波妞,2008,8.6,549854人

恋恋笔记本,2004,8.5,725081人

罗生门,1950,8.8,344019人

千钧一发,1997,8.8,331771人

大红灯笼高高挂,1991,8.8,340326人

彗星来的那一夜,2013,8.6,650784人

海边的曼彻斯特,2016,8.6,618838人

哈利·波特与凤凰社,2007,8.5,660704人

黑客帝国2：重装上阵,2003,8.7,438954人

火星救援,2015,8.5,800318人

萤火虫之墓,1988,8.7,428189人

奇迹男孩,2017,8.6,585175人

战争之王,2005,8.7,400788人

千年女优,2001,8.8,302950人

步履不停,2008,8.8,308928人

血钻,2006,8.7,409147人

谍影重重2,2004,8.7,383287人

蜘蛛侠：平行宇宙,2018,8.6,729878人

机器人之梦,2023,9.0,333252人

魂断蓝桥,1940,8.8,300366人

房间,2015,8.8,390622人

冰雪奇缘,2013,8.5,773767人

隐藏人物,2016,8.9,253654人

谍影重重,2002,8.6,466941人

弱点,2009,8.7,343561人

